epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,32.46651077270508,,,,,
0,49,,,38.554595947265625,26677316.0,95.91361999511719,0.420208603143692,38.554595947265625
0,49,34.866172790527344,,,,,,
1,99,,27.087871551513672,,,,,
1,99,,,33.45103454589844,30744366.0,83.37669372558594,0.36779648065567017,33.45103454589844
1,99,35.563987731933594,,,,,,
2,149,,25.295869827270508,,,,,
2,149,,,30.505739212036133,31816790.0,76.7376480102539,0.3416961431503296,30.505739212036133
2,149,29.130788803100586,,,,,,
3,199,,19.73856544494629,,,,,
3,199,,,29.688209533691406,30004158.0,75.613525390625,0.33267781138420105,29.688209533691406
3,199,28.494314193725586,,,,,,
4,249,,25.45346450805664,,,,,
4,249,,,29.43429183959961,29573332.0,74.50470733642578,0.33569765090942383,29.43429183959961
4,249,27.271286010742188,,,,,,
5,299,,27.740373611450195,,,,,
5,299,,,28.57563018798828,33766412.0,71.80054473876953,0.31878259778022766,28.57563018798828
5,299,27.37561798095703,,,,,,
6,349,,35.37355041503906,,,,,
6,349,,,28.522289276123047,32365516.0,70.69107055664062,0.3203914761543274,28.522289276123047
6,349,27.80038070678711,,,,,,
7,399,,18.974992752075195,,,,,
7,399,,,28.286605834960938,32515072.0,69.79569244384766,0.3186001479625702,28.286605834960938
7,399,25.35169219970703,,,,,,
8,449,,26.42836570739746,,,,,
8,449,,,28.12498664855957,30096116.0,71.73787689208984,0.3177681267261505,28.12498664855957
8,449,25.851730346679688,,,,,,
9,499,,22.449174880981445,,,,,
9,499,,,27.816787719726562,31690816.0,69.24744415283203,0.3129091262817383,27.816787719726562
9,499,27.387866973876953,,,,,,
10,549,,26.841943740844727,,,,,
10,549,,,27.644012451171875,31943356.0,69.0301284790039,0.31024712324142456,27.644012451171875
10,549,26.235746383666992,,,,,,
11,599,,25.593690872192383,,,,,
11,599,,,27.555574417114258,29104874.0,69.58885192871094,0.315804123878479,27.555574417114258
11,599,25.824626922607422,,,,,,
12,649,,22.15264320373535,,,,,
12,649,,,27.23522186279297,29965848.0,68.25428009033203,0.312827467918396,27.23522186279297
12,649,28.1115665435791,,,,,,
13,699,,30.13044548034668,,,,,
